"country","region","date","primary_secondary","ps_lower","ps_upper","primary","p_lower","p_upper","orphanhood","or_lower","or_upper"
"Bahrain","Eastern Mediterranean",2022-04-01,1378.19107622872,797.496127354381,2255.22003311135,838.006801993951,425.22091948285,1569.13843975791,756.071665619185,379.448079835303,1430.28161154087
"Bangladesh","South-East Asia",2022-04-01,152905.450578081,91939.3032002999,243833.424192493,95002.7006515498,50749.9510943064,172030.130876797,85863.0479898233,45453.9564788776,157568.727237324
"Barbados","Americas",2022-04-01,171.889856237339,81.5191350977412,319.668264378749,90.8352363561637,38.7071490378041,190.880117235686,81.0854356619522,34.2541426750232,171.503726348347
"Belarus","Eastern European",2022-04-01,26299.2807688815,15665.7514850179,42487.8332076328,14656.9486894467,7562.18890991232,27168.0501824422,13135.1885876672,6710.71842755031,24609.4168245936
"Belgium","European",2022-04-01,2167.7709125139,1275.61906498354,3725.24075350771,1586.22346789324,828.374771883891,3099.68659166989,1475.8630682627,764.644289981068,2908.94603288908
"Belize","Americas",2022-04-01,623.745112714528,317.190100534121,1062.47816750692,446.569387563184,208.122334481195,835.665803047018,408.638247548126,188.725931091561,771.846945431996
"Benin","African ",2022-04-01,17858.1796831027,11244.049369452,24509.0859994918,15933.6936143708,10015.3739814264,21884.6129868712,15159.515932162,9528.46572006885,20821.5077168577
"Bhutan","South-East Asia",2022-04-01,239.353276432111,94.6441080698894,452.670635240302,143.488637556781,52.3062255861687,299.5682228155,129.313590134105,46.6657319596383,272.22867886054
"Bolivia (Plurinational State of)","Americas",2022-04-01,175358.578064995,119030.135085597,243584.438833248,148048.138247755,92689.2992274861,216991.498936652,137929.943923082,85504.1631359895,203970.718573545
"Bosnia and Herzegovina","European",2022-04-01,487.614682461068,283.750706326701,840.702235855877,275.819266401724,141.948940025988,541.433261464115,252.292559464315,128.797077413297,499.45110008495
"Botswana","African ",2022-04-01,21038.7713093418,14306.6874281027,28288.4083877646,18369.1104948453,11572.2260273859,25751.4978403004,17192.8924386653,10697.6876198959,24260.171569728
"Brazil","Americas",2022-04-01,298643.172650139,276328.692772922,321097.434990132,204837.835369066,189532.446952266,220239.099867154,177705.76317222,164427.670654038,191067.032375827
"Brunei Darussalam","Western Pacific",2022-04-01,75.5935998464765,21.9167468373623,154.771296728739,42.6510599279813,11.4181818622269,96.7278177922632,38.258220140268,10.1938609305374,87.3966393228432
"Bulgaria","Eastern European",2022-04-01,18991.4622552856,11398.9478962296,30833.4628013724,9873.71598405107,5152.16316366256,18431.0463246278,8803.51985440126,4549.30122587477,16607.0001728259
"Burkina Faso","African ",2022-04-01,55522.7577948378,32310.4735955497,78908.5701247566,49340.9285973499,28731.3752808583,70260.0444645343,46940.1910961531,27333.7717465835,66845.4373622142
"Myanmar","South-East Asia",2022-04-01,46958.3628534105,24991.3527417456,77749.6884753464,31548.8267923567,15213.9388610505,57890.4175679581,28702.3797110054,13710.1444728885,53310.1253813095
"Burundi","African ",2022-04-01,9313.45484477542,5372.12717235128,13340.9272215245,8261.3029327794,4761.92662164235,11844.8849587867,7859.05123925809,4529.99859650342,11267.9751322798
"Cabo Verde","African ",2022-04-01,396.296042204716,240.642637600514,610.267735162913,277.684562298016,148.719618815808,476.002931794929,253.587675609044,134.447559305306,439.910099862687
"Cambodia","Western Pacific",2022-04-01,13631.6389000067,7724.13282522985,21083.5084458076,10726.2781289756,5558.60701589704,17788.2792593133,9909.95379433964,5106.00200653284,16567.589021203
"Cameroon","African ",2022-04-01,90881.4056370064,65956.7692174057,117676.677290158,81519.962401255,59141.3064545771,105530.725023275,77564.7714156767,56270.148256797,100402.950140021
"Canada","Americas",2022-04-01,8371.55806465599,4885.54334207418,14162.3556862027,4052.98928987064,2058.53147778941,7880.75166092216,3595.4591179494,1808.27985231436,7065.0070175108
"Central African Republic","African ",2022-04-01,33494.6011937171,17728.3548679387,48952.764595296,29984.638874242,15933.9374804793,43875.7297839045,28529.1616412309,15161.280870713,41746.5990365988
"Chad","African ",2022-04-01,35107.3942421712,17413.3889368675,52148.1435338235,31093.5381443444,15410.16237487,46219.6686621661,29578.6211595113,14659.1157188175,43968.6511342559
"Chile","Americas",2022-04-01,10804.2807986556,6459.38306782244,17742.864233001,5574.26550337906,2900.70900994625,10553.7141391991,4967.33721796501,2559.92672045358,9505.27801432484
"China","Western Pacific",2022-04-01,12346.6434923952,3872.21628897557,25229.7245300213,6762.50285673284,1991.87214051988,15298.8703550219,6052.54434773293,1769.87465518776,13811.961508462
